	sp_id	hh_size	latitude	longitude	location	mo_name
814018	323084	2	55.186673	61.37281855	POINT (61.37281855 55.186673)	Kurchatovskiy rayon
911133	361648	1	55.192979439	61.341995648	POINT (61.341995648 55.192979439)	Kurchatovskiy rayon
1007287	399890	2	55.208029426	61.286370297	POINT (61.286370297 55.208029426)	Kurchatovskiy rayon
1024900	406900	1	55.211732471	61.278293616	POINT (61.278293616 55.211732471)	Kurchatovskiy rayon
760251	301720	2	55.183677185	61.292660738	POINT (61.292660738 55.183677185)	Kurchatovskiy rayon
862976	342536	6	55.189794675	61.275250512	POINT (61.275250512 55.189794675)	Kurchatovskiy rayon
1032676	410002	3	55.213888945	61.293600442	POINT (61.293600442 55.213888945)	Kurchatovskiy rayon
999538	396802	3	55.205418787	61.276393132	POINT (61.276393132 55.205418787)	Kurchatovskiy rayon
813498	322880	3	55.186665637	61.282095248	POINT (61.282095248 55.186665637)	Kurchatovskiy rayon
923620	366602	3	55.193998112	61.34825505	POINT (61.34825505 55.193998112)	Kurchatovskiy rayon
969479	384845	4	55.197240725	61.324161624	POINT (61.324161624 55.197240725)	Kurchatovskiy rayon
949337	376839	3	55.195720696	61.340587666	POINT (61.340587666 55.195720696)	Kurchatovskiy rayon
919014	364776	3	55.193430985	61.361476055	POINT (61.361476055 55.193430985)	Kurchatovskiy rayon
1023852	406484	4	55.211216341	61.282550444	POINT (61.282550444 55.211216341)	Kurchatovskiy rayon
1034749	410828	3	55.21484209	61.279039878	POINT (61.279039878 55.21484209)	Kurchatovskiy rayon
924138	366816	2	55.194004365	61.315791176	POINT (61.315791176 55.194004365)	Kurchatovskiy rayon
1033673	410391	1	55.214370653	61.302370396	POINT (61.302370396 55.214370653)	Kurchatovskiy rayon
933783	370649	3	55.194954194	61.30694497	POINT (61.30694497 55.194954194)	Kurchatovskiy rayon
989144	392665	3	55.20051213	61.322176967	POINT (61.322176967 55.20051213)	Kurchatovskiy rayon
948149	376364	3	55.195661149	61.28337937	POINT (61.28337937 55.195661149)	Kurchatovskiy rayon
982216	389908	3	55.198735675	61.34854012	POINT (61.34854012 55.198735675)	Kurchatovskiy rayon
962791	382189	2	55.196648078	61.344599987	POINT (61.344599987 55.196648078)	Kurchatovskiy rayon
930505	369352	1	55.194304678	61.281171279	POINT (61.281171279 55.194304678)	Kurchatovskiy rayon
873787	346832	7	55.190337832	61.385192376	POINT (61.385192376 55.190337832)	Kurchatovskiy rayon
1031784	409641	4	55.213785754	61.295176887	POINT (61.295176887 55.213785754)	Kurchatovskiy rayon
993442	394383	6	55.202564959	61.286698846	POINT (61.286698846 55.202564959)	Kurchatovskiy rayon
999785	396902	3	55.20543295	61.28319305	POINT (61.28319305 55.20543295)	Kurchatovskiy rayon
917551	364191	4	55.193318773	61.313650525	POINT (61.313650525 55.193318773)	Kurchatovskiy rayon
1042638	413966	6	55.218122863	61.285463252	POINT (61.285463252 55.218122863)	Kurchatovskiy rayon
870017	345334	4	55.190193168	61.32509388	POINT (61.32509388 55.190193168)	Kurchatovskiy rayon
873425	346689	2	55.190292698	61.292251639	POINT (61.292251639 55.190292698)	Kurchatovskiy rayon
993466	394390	4	55.202564959	61.286698846	POINT (61.286698846 55.202564959)	Kurchatovskiy rayon
1028947	408513	3	55.212526909	61.282199276	POINT (61.282199276 55.212526909)	Kurchatovskiy rayon
994926	394975	3	55.20331695	61.28518215	POINT (61.28518215 55.20331695)	Kurchatovskiy rayon
994240	394702	6	55.202899232	61.316511018	POINT (61.316511018 55.202899232)	Kurchatovskiy rayon
1047459	415884	3	55.221539625	61.292335978	POINT (61.292335978 55.221539625)	Kurchatovskiy rayon
986926	391784	3	55.1999002	61.35352255	POINT (61.35352255 55.1999002)	Kurchatovskiy rayon
929965	369122	1	55.194304678	61.281171279	POINT (61.281171279 55.194304678)	Kurchatovskiy rayon
893833	354782	1	55.1915547	61.284553872	POINT (61.284553872 55.1915547)	Kurchatovskiy rayon
814078	323110	2	55.186709377	61.387187284	POINT (61.387187284 55.186709377)	Kurchatovskiy rayon
801299	318029	3	55.185880049	61.294100026	POINT (61.294100026 55.185880049)	Kurchatovskiy rayon
965913	383423	4	55.196915147	61.356645086	POINT (61.356645086 55.196915147)	Kurchatovskiy rayon
1016545	403572	3	55.209240649	61.288177987	POINT (61.288177987 55.209240649)	Kurchatovskiy rayon
