	sp_id	sp_hh_id	age	sex	work_id
24	454966	9	61	M	X
25	1048623	9	64	F	X
26	583628	9	6	F	X
27	499500	9	68	M	X
57	832781	20	39	F	4
58	212550	20	31	M	4
59	212549	20	31	M	4
60	212548	20	31	M	4
84	40158	30	6	M	X
85	40157	30	6	M	X
443	812020	175	37	F	27
444	155582	175	22	M	27
445	932599	175	50	F	27
462	832790	187	39	F	28
463	812023	187	37	F	28
464	273976	187	37	M	28
465	1048627	187	64	F	X
558	1094295	224	69	F	X
559	639127	224	13	F	112
560	475943	224	64	M	X
561	1039116	224	63	F	X
562	263562	224	36	M	35
563	1111125	224	71	F	X
588	1158682	237	81	F	X
674	1183979	268	89	F	X
675	1144340	268	76	F	X
676	948427	268	52	F	41
677	533175	268	78	M	X
737	17941	292	3	M	X
738	98728	292	13	M	48
739	336803	292	44	M	45
740	242271	292	34	M	45
741	242272	292	34	M	46
761	113251	301	15	M	49
762	665392	301	17	F	44
763	1048630	301	64	F	X
764	263565	301	36	M	47
765	273980	301	37	M	47
788	422218	314	56	M	X
789	1010366	314	60	F	49
790	879786	314	44	F	49
797	780377	317	34	F	49
798	832792	317	39	F	49
799	344789	317	45	M	49
800	171696	317	25	M	49
801	832791	317	39	F	49
922	842442	366	40	F	58
1037	977418	411	56	F	65
1038	368470	411	48	M	65
1271	898038	502	46	F	80
1648	583641	645	6	F	X
1649	119837	645	16	M	44
1650	760151	645	32	F	103
1706	263579	667	36	M	107
1707	888941	667	45	F	107
1708	48756	667	7	M	48
1784	870640	698	43	F	112
1785	1019637	698	61	F	X
1786	599969	698	8	F	44
1841	390254	721	51	M	115
1842	525547	721	74	M	X
1873	750787	731	31	F	117
1874	263581	731	36	M	117
1875	545526	731	0	F	X
1876	688903	731	21	F	117
1877	536487	731	81	M	X
1878	13	731	0	M	X
1888	390256	739	51	M	118
1889	898046	739	46	F	118
1890	482245	739	65	M	X
1982	504442	775	69	M	X
1983	390257	775	51	M	123
2138	898049	835	46	F	133
2139	970304	835	55	F	133
2140	1039127	835	63	F	X
2168	283738	847	38	M	135
2169	683450	847	20	F	135
2170	1029613	847	62	F	X
2252	870643	880	43	F	140
2253	780394	880	34	F	140
2254	171705	880	25	M	140
2255	17948	880	3	M	X
2296	57503	896	8	M	44
2297	568889	896	4	F	X
2298	189865	896	28	M	142
2345	1029616	914	62	F	X
2346	482250	914	65	M	X
2347	671580	914	18	F	144
2348	293660	914	39	M	145
2365	992800	922	58	F	146
2366	514120	922	71	M	X
2367	212569	922	31	M	147
2452	542867	956	86	M	X
2453	984803	956	57	F	151
2853	970312	1116	55	F	177
2854	494100	1116	67	M	X
2871	742426	1122	30	F	177
2872	955996	1122	53	F	177
2873	955995	1123	53	F	177
2874	955994	1123	53	F	178
2875	955993	1123	53	F	178
2876	955992	1123	53	F	178
2909	212572	1139	31	M	182
2910	760163	1139	32	F	183
2911	760162	1139	32	F	183
2956	583652	1160	6	F	X
2957	31978	1160	5	M	X
2958	311436	1160	41	M	187
2959	352739	1160	46	M	187
2960	311438	1160	41	M	188
3004	91107	1177	12	M	44
3005	870649	1177	43	F	191
3006	509452	1177	70	M	X
3007	113268	1177	15	M	88
3008	113267	1178	15	M	44
3009	113266	1178	15	M	48
3010	113265	1178	15	M	43
3113	1154411	1212	80	F	X
3114	1154410	1212	80	F	X
3205	948453	1257	52	F	202
3206	352741	1257	46	M	203
3207	352742	1257	46	M	203
3208	242292	1257	34	M	203
3312	780405	1299	34	F	209
3461	955998	1358	53	F	217
3462	716056	1358	26	F	217
3463	1058121	1358	65	F	X
3500	1029627	1371	62	F	X
3501	1058124	1371	65	F	X
3606	1048649	1413	64	F	X
3607	1048650	1413	64	F	X
3608	1029628	1413	62	F	X
3609	98751	1413	13	M	48
3717	336823	1458	44	M	231
3718	1085951	1458	68	F	X
3884	155596	1523	22	M	243
3885	888955	1523	45	F	243
3941	525551	1545	74	M	X
3942	302756	1545	40	M	247
3943	24	1545	0	M	X
4015	160731	1575	23	M	253
4016	1111148	1575	71	F	X
4017	454988	1575	61	M	X
4038	24726	1584	4	M	X
4039	545542	1584	0	F	X
4096	879807	1608	44	F	259
4097	545545	1608	0	F	X
4098	5975	1608	1	M	X
4099	915804	1608	48	F	259
4100	915803	1608	48	F	259
4608	851854	1809	41	F	295
4609	1126815	1809	73	F	X
4700	509471	1846	70	M	X
4701	509470	1846	70	M	X
4702	1029638	1846	62	F	X
4703	1133018	1846	74	F	X
4814	441003	1887	59	M	X
4815	441002	1887	59	M	X
4816	441001	1887	59	M	X
4904	1067326	1922	66	F	X
4905	575728	1922	5	F	X
