,0
0,5
1,3
2,113
3,1232
4,1432
5,12550
6,43048
7,54604
8,34433
9,25636
10,26131
11,29862
12,31765
13,31440
14,29294
15,25954
16,22591
17,19022
18,16569
19,14012
20,12085
21,9998
22,8726
23,7045
24,5883
25,4978
26,4355
27,3623
28,3056
29,2460
30,2099
31,1668
32,1405
33,1200
34,959
35,813
36,600
37,564
38,428
39,369
40,318
41,264
42,232
43,206
44,185
45,111
46,98
47,105
48,89
49,82
50,71
51,60
52,31
53,15
54,27
55,28
56,12
57,21
58,14
59,9
60,9
61,7
62,3
63,10
64,6
65,0
66,4
67,1
68,1
69,1
70,4
71,2
72,0
73,0
74,0
75,1
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
