,0
0,20
1,32
2,51
3,78
4,99
5,128
6,167
7,237
8,326
9,511
10,785
11,1264
12,2038
13,3225
14,4649
15,6796
16,10027
17,14631
18,21308
19,31135
20,45232
21,64766
22,88841
23,119543
24,154746
25,189445
26,221760
27,254282
28,283215
29,303665
30,315640
31,320239
32,314847
33,300774
34,283112
35,263511
36,238485
37,211483
38,186516
39,162693
40,139665
41,118563
42,100149
43,83689
44,69559
45,57913
46,48141
47,39921
48,33006
49,27411
50,22732
51,18605
52,15366
53,12628
54,10350
55,8457
56,6940
57,5628
58,4566
59,3763
60,3143
61,2624
62,2201
63,1816
64,1485
65,1183
66,955
67,790
68,640
69,497
70,393
71,299
72,252
73,214
74,187
75,163
76,136
77,110
78,91
79,81
80,60
81,53
82,51
83,44
84,39
85,35
86,33
87,30
88,24
89,23
90,18
91,10
92,5
93,2
94,1
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
